"synthetic_age","synthetic_always_lonely","synthetic_baseline_wellbeing","synthetic_community_cohesion","synthetic_eth_minority","synthetic_financial_crisis","synthetic_health_condition","synthetic_imd_decile_2019","synthetic_income_decrease","synthetic_lonely","synthetic_sex","synthetic_wave_1","synthetic_wave_4","synthetic_Weights"
40,4,3,4,0,0,1,"6",1,0,0,3,0,0.606728863291885
27,4,3,15,0,1,0,"5",1,1,0,11,11,0.495347501546705
54,1,0,16,0,1,1,"7",0,0,0,3,2,1.09958546442167
63,3,1,6,0,0,0,"9",1,0,0,3,0,1.12363442334502
22,3,0,8,0,0,0,"4",0,1,0,4,1,0.669417024701191
83,2,0,12,0,1,1,"8",0,1,1,1,0,0.955223813869095
47,0,0,4,0,1,0,"7",1,0,1,0,0,0.761624328668015
32,0,2,6,0,0,1,"7",0,1,0,1,0,0.943199859530769
76,0,1,15,1,0,0,"5",0,0,1,0,3,1.04580143842714
91,4,1,20,0,1,1,"5",0,0,0,1,0,0.660958318706627
34,0,0,19,0,0,1,"5",1,1,1,1,0,1.08030254486572
79,2,2,18,0,1,0,"3",0,0,0,2,1,0.901045351806089
31,1,1,4,0,0,1,"9",1,1,0,2,0,0.434262490380613
91,1,0,17,0,1,1,"9",1,0,0,0,0,0.935813529902608
36,3,0,5,0,0,0,"6",1,1,0,1,1,1.37811151858432
86,3,0,14,0,1,0,"8",0,1,1,1,0,1.05274705954128
31,3,0,4,1,1,0,"10",1,1,1,7,0,1.21878463703281
43,4,0,9,0,0,1,"8",0,1,0,1,3,0.664640667804866
20,2,2,5,0,0,0,"8",0,1,1,0,2,0.928362760782072
19,3,0,20,-99,0,1,"9",1,0,0,0,2,0.953652872756376
32,2,0,8,0,0,1,"10",0,0,0,1,0,0.575050180026054
48,3,0,8,0,1,1,"5",1,1,1,5,4,0.783062290993209
23,3,9,9,0,0,1,"5",0,1,1,4,4,0.447826449460171
62,1,0,19,0,1,0,"10",1,0,0,1,0,2.58210003506053
37,1,3,20,0,0,1,"6",0,0,1,4,6,0.806875997756701
75,4,0,15,0,1,0,"10",0,1,1,6,1,1.54066331475226
75,2,2,7,0,0,1,"9",0,0,0,1,10,0.463216400979711
90,2,0,8,0,1,0,"9",0,1,1,3,0,0.712537212227956
81,4,1,9,0,1,1,"5",0,0,1,2,0,1.30481729082472
68,3,0,10,0,1,0,"7",1,0,1,6,2,0.618443395107811
81,4,2,19,0,1,0,"2",0,1,0,4,0,0.328369514664747
76,3,0,18,0,1,1,"3",0,0,0,2,0,0.589381229708847
79,4,0,9,0,0,1,"10",0,0,0,0,4,1.05248631990566
